Date,Booking_status,level_3,level_4,level_5,level_6,JourneyDate,BookingStatus,TrainNo,ClassOfTravel,ChartingStatus
2017-04-08,W/L,0,"90,TQ	*12864	",SL	W/L,0,0,41,0.0,0,0.0
2017-04-08,W/L,0,"93,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-07,W/L,0,"64,TQ	*12864	",SL	W/L,0,0,26,0.0,0,0.0
2017-04-08,W/L,"118,TQ	*12864	",SL	WL,0,0,0,0,0.0,0,0.0
2017-04-09,W/L,0,"11,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-08,W/L,0,0,"2,TQ	*12864	",SL	W/L,0,0,0.0,2,0.0
2017-04-09,W/L,0,"29,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-09,W/L,0,"27,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-09,W/L,0,"30,TQ	*12864	",3A	W/L,0,0,0,6.0,0,0.0
2017-04-09,W/L,0,0,"6,TQ	*12864	",2A	WL,0,0,0.0,0,0.0
2017-04-08,W/L,0,"35,TQ	*12864	",SL	S4,0,",",25,0.0,0,0.0
2017-04-09,W/L,0,"15,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-10,W/L,0,0,"2,TQ	*12864	",3A	W/L,0,0,0.0,1,0.0
2017-04-10,W/L,0,"38,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-09,W/L,0,"87,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-11,W/L,0,0,"2,TQ	*12864	",SL	WL,0,0,0.0,0,0.0
2017-04-10,W/L,0,"27,TQ	*12864	",SL	S10,",",20,0,0.0,0,0.0
2017-04-11,W/L,0,0,"3,TQ	*12864	",SL	S5,0,",",0.0,9,0.0
2017-04-11,W/L,0,"32,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-11,W/L,0,"47,TQ	*12864	",SL	S2,0,",",20,0.0,0,0.0
2017-04-10,W/L,0,"13,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-04-11,W/L,"119,TQ	*12864	",SL	WL,0,0,0,0,0.0,0,0.0
2017-04-11,W/L,"100,TQ	*12864	",SL	W/L,0,0,47,0,0.0,0,0.0
2017-04-12,W/L,0,"15,TQ	*12864	",3A	W/L,0,0,0,5.0,0,0.0
2017-04-12,W/L,0,"41,TQ	*12864	",SL	W/L,0,0,11,0.0,0,0.0
2017-04-12,W/L,0,"96,TQ	*12864	",SL	W/L,0,0,38,0.0,0,0.0
2017-04-15,W/L,0,"38,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-15,W/L,"121,TQ	*12864	",SL	W/L,0,0,60,0,0.0,0,0.0
2017-04-15,W/L,0,"36,TQ	*12864	",SL	S10,",",14,0,0.0,0,0.0
2017-04-15,W/L,0,0,"6,TQ	*12864	",SL	W/L,0,0,0.0,1,0.0
2017-04-16,W/L,0,"18,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-16,W/L,0,"24,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-17,W/L,0,"12,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-04-17,W/L,0,"22,TQ	*12864	",3A	W/L,0,0,0,5.0,0,0.0
2017-04-17,W/L,0,0,"8,TQ	*12864	",2A	WL,0,0,0.0,0,0.0
2017-05-04,W/L,0,0,"5,TQ	*12864	",SL	S10,",",37,0.0,0,0.0
2017-05-04,W/L,0,"11,TQ	*12864	",SL	W/L,0,0,0,1.0,0,0.0
2017-05-05,W/L,0,0,"3,TQ	*12864	",SL	WL,0,0,0.0,0,0.0
2017-05-05,W/L,0,"10,TQ	*12864	",SL	S8,0,",",52,0.0,0,0.0
2017-05-04,W/L,0,"16,TQ	*12864	",3A	W/L,0,0,0,7.0,0,0.0
2017-05-05,W/L,0,"17,TQ	*12864	",SL	S2,0,",",17,0.0,0,0.0
2017-05-05,W/L,0,"22,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-05-05,W/L,"110,TQ	*12864	",SL	WL,0,0,0,0,0.0,0,0.0
2017-05-06,W/L,0,0,"2,TQ	*12864	",3A	WL,0,0,0.0,0,0.0
2017-05-06,W/L,0,0,"3,TQ	*12864	",SL	S1,0,",",12.0,0,0.0
2017-05-05,W/L,"100,TQ	*12864	",SL	WL,0,0,0,0,0.0,0,0.0
2017-05-06,W/L,0,"14,TQ	*12864	",SL	S6,0,",",58,0.0,0,0.0
2017-05-05,W/L,0,0,"3,TQ	*12864	",3A	WL,0,0,0.0,0,0.0
2017-05-06,W/L,0,"13,TQ	*12864	",SL	W/L,0,0,0,6.0,0,0.0
2017-05-08,W/L,0,"21,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-05-08,W/L,0,"59,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-05-08,W/L,0,"43,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-05-07,W/L,0,"58,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
2017-05-10,W/L,0,0,"3,TQ	*12864	",SL	S6,0,",",57.0,0,0.0
2017-05-10,W/L,0,"24,TQ	*12864	",3A	WL,0,0,0,0.0,0,0.0
2017-05-11,W/L,0,"14,TQ	*12864	",SL	S4,0,",",28,0.0,0,0.0
2017-05-11,W/L,0,"11,TQ	*12864	",SL	W/L,0,0,0,4.0,0,0.0
2017-05-11,W/L,0,0,"1,TQ	*12864	",2A	WL,0,0,0.0,0,0.0
2017-05-11,W/L,0,"15,TQ	*12864	",3A	W/L,0,0,0,1.0,0,0.0
2017-05-13,W/L,0,"11,TQ	*12864	",SL	WL,0,0,0,0.0,0,0.0
